week,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2025-46,-2.316155891729652,1.0,0.5452629840944062,1.0,1.0
2025-47,-0.07622357425385087,1.0,0.9050580111175098,1.0,1.0
2025-48,0.36869696905680305,0.6649711633775055,-0.039065781597251374,0.5492341201231613,4.0
2025-49,-0.5823418157355577,1.2152373773779708,1.004905434884687,0.8910559068034026,2.0
2025-50,0.4628472739353462,1.0778211547639427,-0.07648807137534368,0.10265808033755049,2.0
2025-51,-0.2709795151710711,0.3992307581575726,0.1831414629116041,1.5611243530256147,5.0
2025-52,0.9288912830841346,1.105987212815265,0.49747066220913144,0.5840670906161258,2.0
2026-02,2.7585455412238225,1.0,1.2648530381406138,1.0,1.0
2026-03,-0.032540246900588266,0.8635713398535493,0.6645634404231194,1.7755384503598952,2.0
2026-05,-0.8216284367499473,0.6545791891127358,-0.16296512173001948,1.1890483739966715,2.0
2026-06,1.2621592212503625,1.9979123844404791,-0.2185124241476214,1.9103329732378962,2.0
2026-07,0.05389697530905877,1.0,0.7914385288996875,1.0,1.0
2026-08,-0.08087073673824052,1.2938070922380178,0.6557263695839554,0.6360220127288442,3.0
2026-09,0.5948266884920117,0.023659488763110907,-0.18947633424751137,0.6480849245657535,2.0
2026-10,0.05389697530905878,0.3943248127185156,-0.4583757754963572,1.071214751348353,2.0
2026-12,-0.22493277375431894,1.0,-1.670316919153128,1.0,1.0
2026-14,0.6324687046155676,0.3844666924005527,0.43164350187658374,0.08034110635112639,2.0
2026-15,0.039533018539127156,0.9057116307685942,-0.18369972084182404,0.8840699915751107,6.0
2026-16,-0.22493277375431894,1.0,-1.215838990281839,1.0,1.0
2026-17,-0.9817563783549157,0.19152919474899316,-0.46919667856472125,0.3060613575281008,2.0
2026-18,-0.350406160832839,1.0,-0.4820465009584035,1.0,1.0
2026-19,-0.11576670230283893,0.1890811822166577,-0.8811779699311625,1.3668287542839606,3.0
2026-21,-2.455570766261341,1.0,0.6020727252033171,1.0,1.0
2026-23,0.2598895654334317,1.0,-0.09819428764938312,1.0,1.0
2026-25,-0.22493277375431894,1.0,-1.670316919153128,1.0,1.0
