day,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2025-11-19,-2.3893670692453024,1.0,0.4803867024744472,1.0,1.0
2025-11-24,-0.13841064512362228,1.0,0.8556404981108218,1.0,1.0
2025-12-01,0.6648352157662719,0.5547717441442176,-0.13186949040595414,0.9496540127427403,2.0
2025-12-04,-0.5595628089728691,1.0,-0.32937148810930944,1.0,1.0
2025-12-06,0.46469089826879006,1.0,0.07691833573759257,1.0,1.0
2025-12-08,0.21651194457191247,1.0,0.30263490454142733,1.0,1.0
2025-12-14,-1.5105515660518136,1.0,1.6169209256219366,1.0,1.0
2025-12-19,0.4033133075695621,1.0831257861863295,-0.16807818998490273,0.10706883477001482,2.0
2025-12-22,0.2725523534712073,1.0,-0.5268734858126645,1.0,1.0
2025-12-24,-0.47358566215940534,0.30795492736168817,1.4470179083768686,1.68543636547283,2.0
2025-12-25,-0.7081548022664542,1.0,-0.023243391669108642,1.0,1.0
2025-12-28,-0.2878517355217421,1.0,-1.8303866706548089,1.0,1.0
2025-12-31,0.8716510105136699,1.111430467010014,0.4305409601969334,0.6091618176977243,2.0
2026-01-13,2.710310140590537,1.0,1.230894293747197,1.0,1.0
2026-01-24,-0.7081548022664542,1.0,-0.7046252837456843,1.0,1.0
2026-01-25,0.5191301526281052,1.0,1.9142512058008059,1.0,1.0
2026-02-04,-1.352619504608346,1.0,0.6186381008667954,1.0,1.0
2026-02-08,-0.42234871688004993,1.0,-1.1351796387389985,1.0,1.0
2026-02-11,-0.21313119032268216,1.0,-1.7250522718796863,1.0,1.0
2026-02-15,2.626249527241595,1.0,1.0926428953548484,1.0,1.0
2026-02-20,-0.0076496910252673855,1.0,0.7371392994888086,1.0,1.0
2026-02-24,-0.4349578088823914,1.6940351472975217,0.7025764498907215,0.9007747620868638,2.0
2026-02-27,0.44067358016909214,1.0,0.38163570362276944,1.0,1.0
2026-03-05,0.519130152628105,1.0,0.19203378582754824,1.0,1.0
2026-03-08,0.552754397967682,1.0,-0.763875883056691,1.0,1.0
2026-03-15,-0.0076496910252673855,0.396265531531584,-0.5663738853533357,1.1172400149914594,2.0
2026-03-23,-0.2878517355217421,1.0,-1.8303866706548089,1.0,1.0
2026-04-09,0.3005725579208548,1.0,0.4211361031634403,1.0,1.0
2026-04-12,0.8469665446889804,1.0,0.30263490454142733,1.0,1.0
2026-04-13,-0.7922154156153965,1.0,0.4211361031634403,1.0,1.0
2026-04-14,1.0010776691620416,1.0,-0.07920229101839268,1.0,1.0
2026-04-15,-0.9603366423132815,1.0,-0.7243754835160199,1.0,1.0
2026-04-16,0.4534100367371138,1.0483024515971904,0.2667254504135445,0.7211276460399423,2.0
2026-04-18,-0.2878517355217421,1.0,-1.8303866706548089,1.0,1.0
2026-04-21,-0.2878517355217421,1.0,-1.3563818761667565,1.0,1.0
2026-04-30,-1.0484001420121736,0.1924718296010551,-0.5776597137935273,0.3192114328547026,2.0
2026-05-04,-0.4139426555451557,1.0,-0.591061635066255,1.0,1.0
